"Statistic Label","Year","Age","Sex","Criteria for Projection","UNIT","VALUE"
"Population Projections based on Census 2022","2022","Under 1 year","Both sexes","Method - M1","Number","57684"
"Population Projections based on Census 2022","2022","Under 1 year","Both sexes","Method - M2","Number","57684"
"Population Projections based on Census 2022","2022","Under 1 year","Both sexes","Method - M3","Number","57684"
"Population Projections based on Census 2022","2022","1 year","Both sexes","Method - M1","Number","56631"
"Population Projections based on Census 2022","2022","1 year","Both sexes","Method - M2","Number","56631"
"Population Projections based on Census 2022","2022","1 year","Both sexes","Method - M3","Number","56631"
"Population Projections based on Census 2022","2022","2 years","Both sexes","Method - M1","Number","59250"
"Population Projections based on Census 2022","2022","2 years","Both sexes","Method - M2","Number","59250"
"Population Projections based on Census 2022","2022","2 years","Both sexes","Method - M3","Number","59250"
"Population Projections based on Census 2022","2022","3 years","Both sexes","Method - M1","Number","60596"
"Population Projections based on Census 2022","2022","3 years","Both sexes","Method - M2","Number","60596"
"Population Projections based on Census 2022","2022","3 years","Both sexes","Method - M3","Number","60596"
"Population Projections based on Census 2022","2022","4 years","Both sexes","Method - M1","Number","61673"
"Population Projections based on Census 2022","2022","4 years","Both sexes","Method - M2","Number","61673"
"Population Projections based on Census 2022","2022","4 years","Both sexes","Method - M3","Number","61673"
"Population Projections based on Census 2022","2022","5 years","Both sexes","Method - M1","Number","64232"
"Population Projections based on Census 2022","2022","5 years","Both sexes","Method - M2","Number","64232"
"Population Projections based on Census 2022","2022","5 years","Both sexes","Method - M3","Number","64232"
"Population Projections based on Census 2022","2022","6 years","Both sexes","Method - M1","Number","66903"
"Population Projections based on Census 2022","2022","6 years","Both sexes","Method - M2","Number","66903"
"Population Projections based on Census 2022","2022","6 years","Both sexes","Method - M3","Number","66903"
"Population Projections based on Census 2022","2022","7 years","Both sexes","Method - M1","Number","69184"
"Population Projections based on Census 2022","2022","7 years","Both sexes","Method - M2","Number","69184"
"Population Projections based on Census 2022","2022","7 years","Both sexes","Method - M3","Number","69184"
"Population Projections based on Census 2022","2022","8 years","Both sexes","Method - M1","Number","70916"
"Population Projections based on Census 2022","2022","8 years","Both sexes","Method - M2","Number","70916"
