year,age_cohort,scenario,population
2022,0-4,M1,295834
2022,0-4,M2,295834
2022,0-4,M3,295834
2022,10-14,M1,374879
2022,10-14,M2,374879
2022,10-14,M3,374879
2022,15-19,M1,337776
2022,15-19,M2,337776
2022,15-19,M3,337776
2022,20-24,M1,311941
2022,20-24,M2,311941
2022,20-24,M3,311941
2022,25-29,M1,299134
2022,25-29,M2,299134
2022,25-29,M3,299134
2022,30-34,M1,334526
2022,30-34,M2,334526
2022,30-34,M3,334526
2022,35-39,M1,385810
2022,35-39,M2,385810
2022,35-39,M3,385810
2022,40-44,M1,414726
2022,40-44,M2,414726
2022,40-44,M3,414726
2022,45-49,M1,376005
2022,45-49,M2,376005
2022,45-49,M3,376005
2022,5-9,M1,343579
2022,5-9,M2,343579
2022,5-9,M3,343579
2022,50-54,M1,342879
2022,50-54,M2,342879
2022,50-54,M3,342879
2022,55-59,M1,309744
2022,55-59,M2,309744
2022,55-59,M3,309744
2022,60-64,M1,275834
2022,60-64,M2,275834
2022,60-64,M3,275834
2022,65-69,M1,240482
2022,65-69,M2,240482
2022,65-69,M3,240482
2022,70-74,M1,204684
2022,70-74,M2,204684
2022,70-74,M3,204684
2022,75-79,M1,155017
2022,75-79,M2,155017
2022,75-79,M3,155017
2022,80-84,M1,96758
2022,80-84,M2,96758
2022,80-84,M3,96758
2022,85+,M1,84358
2022,85+,M2,84358
2022,85+,M3,84358
2023,0-4,M1,295038
2023,0-4,M2,295038
2023,0-4,M3,295038
2023,10-14,M1,376975
2023,10-14,M2,376975
2023,10-14,M3,376975
2023,15-19,M1,352237
2023,15-19,M2,352237
2023,15-19,M3,352237
2023,20-24,M1,321434
2023,20-24,M2,321434
2023,20-24,M3,321434
2023,25-29,M1,309165
2023,25-29,M2,309165
2023,25-29,M3,309165
2023,30-34,M1,335841
2023,30-34,M2,335841
2023,30-34,M3,335841
2023,35-39,M1,382887
2023,35-39,M2,382887
2023,35-39,M3,382887
2023,40-44,M1,428308
2023,40-44,M2,428308
2023,40-44,M3,428308
2023,45-49,M1,381045
2023,45-49,M2,381045
2023,45-49,M3,381045
2023,5-9,M1,336284
2023,5-9,M2,336284
2023,5-9,M3,336284
2023,50-54,M1,353989
2023,50-54,M2,353989
2023,50-54,M3,353989
2023,55-59,M1,316154
2023,55-59,M2,316154
2023,55-59,M3,316154
2023,60-64,M1,284918
2023,60-64,M2,284918
2023,60-64,M3,284918
2023,65-69,M1,244219
2023,65-69,M2,244219
2023,65-69,M3,244219
2023,70-74,M1,210465
2023,70-74,M2,210465
2023,70-74,M3,210465
2023,75-79,M1,162250
2023,75-79,M2,162250
2023,75-79,M3,162250
2023,80-84,M1,102139
2023,80-84,M2,102139
2023,80-84,M3,102139
2023,85+,M1,88081
2023,85+,M2,88081
2023,85+,M3,88081
2024,0-4,M1,292474
2024,0-4,M2,291884
2024,0-4,M3,291737
2024,10-14,M1,375750
2024,10-14,M2,375161
2024,10-14,M3,374990
2024,15-19,M1,365634
2024,15-19,M2,363999
2024,15-19,M3,363271
2024,20-24,M1,330594
2024,20-24,M2,328969
2024,20-24,M3,328155
2024,25-29,M1,321042
2024,25-29,M2,319139
2024,25-29,M3,318628
2024,30-34,M1,337564
2024,30-34,M2,335645
2024,30-34,M3,335036
2024,35-39,M1,379226
2024,35-39,M2,377316
2024,35-39,M3,376664
2024,40-44,M1,434975
2024,40-44,M2,433078
2024,40-44,M3,432480
2024,45-49,M1,390969
2024,45-49,M2,390524
2024,45-49,M3,390361
2024,5-9,M1,329197
2024,5-9,M2,328587
2024,5-9,M3,328413
2024,50-54,M1,364259
2024,50-54,M2,363842
2024,50-54,M3,363730
2024,55-59,M1,321802
2024,55-59,M2,321380
2024,55-59,M3,321290
2024,60-64,M1,294203
2024,60-64,M2,293783
2024,60-64,M3,293708
2024,65-69,M1,249780
2024,65-69,M2,249612
2024,65-69,M3,249547
2024,70-74,M1,214370
2024,70-74,M2,214215
2024,70-74,M3,214178
2024,75-79,M1,169287
2024,75-79,M2,169199
2024,75-79,M3,169173
2024,80-84,M1,107084
2024,80-84,M2,107007
2024,80-84,M3,106991
2024,85+,M1,92178
2024,85+,M2,92048
2024,85+,M3,92032
2025,0-4,M1,290195
2025,0-4,M2,288849
2025,0-4,M3,288108
2025,10-14,M1,371493
2025,10-14,M2,370292
2025,10-14,M3,369550
2025,15-19,M1,378023
2025,15-19,M2,374983
2025,15-19,M3,372555
2025,20-24,M1,339349
2025,20-24,M2,336106
2025,20-24,M3,333410
2025,25-29,M1,332178
2025,25-29,M2,328422
2025,25-29,M3,326075
2025,30-34,M1,338596
2025,30-34,M2,334764
2025,30-34,M3,332278
2025,35-39,M1,378344
2025,35-39,M2,374525
2025,35-39,M3,371951
2025,40-44,M1,433558
2025,40-44,M2,429768
2025,40-44,M3,427296
2025,45-49,M1,405945
2025,45-49,M2,404763
2025,45-49,M3,404050
2025,5-9,M1,322305
2025,5-9,M2,321087
2025,5-9,M3,320342
2025,50-54,M1,371266
2025,50-54,M2,370428
2025,50-54,M3,369922
2025,55-59,M1,329081
2025,55-59,M2,328242
2025,55-59,M3,327778
2025,60-64,M1,302702
2025,60-64,M2,301865
2025,60-64,M3,301432
2025,65-69,M1,256126
2025,65-69,M2,255735
2025,65-69,M3,255490
2025,70-74,M1,219169
2025,70-74,M2,218863
2025,70-74,M3,218682
2025,75-79,M1,175943
2025,75-79,M2,175755
2025,75-79,M3,175644
2025,80-84,M1,112884
2025,80-84,M2,112734
2025,80-84,M3,112651
2025,85+,M1,96359
2025,85+,M2,96108
2025,85+,M3,95992
2026,0-4,M1,289035
2026,0-4,M2,286970
2026,0-4,M3,285667
2026,10-14,M1,365458
2026,10-14,M2,363844
2026,10-14,M3,362715
2026,15-19,M1,387172
2026,15-19,M2,383477
2026,15-19,M3,380164
2026,20-24,M1,347929
2026,20-24,M2,343604
2026,20-24,M3,339587
2026,25-29,M1,339540
2026,25-29,M2,334622
2026,25-29,M3,331047
2026,30-34,M1,338377
2026,30-34,M2,333278
2026,30-34,M3,329582
2026,35-39,M1,375758
2026,35-39,M2,370660
2026,35-39,M3,366803
2026,40-44,M1,429243
2026,40-44,M2,424184
2026,40-44,M3,420455
2026,45-49,M1,420920
2026,45-49,M2,418859
2026,45-49,M3,417461
2026,5-9,M1,314535
2026,5-9,M2,312917
2026,5-9,M3,311811
2026,50-54,M1,377598
2026,50-54,M2,376477
2026,50-54,M3,375707
2026,55-59,M1,337903
2026,55-59,M2,336794
2026,55-59,M3,336095
2026,60-64,M1,308569
2026,60-64,M2,307453
2026,60-64,M3,306801
2026,65-69,M1,263954
2026,65-69,M2,263354
2026,65-69,M3,262944
2026,70-74,M1,223849
2026,70-74,M2,223441
2026,70-74,M3,223163
2026,75-79,M1,180336
2026,75-79,M2,180069
2026,75-79,M3,179893
2026,80-84,M1,120414
2026,80-84,M2,120218
2026,80-84,M3,120095
2026,85+,M1,100170
2026,85+,M2,99855
2026,85+,M3,99684
2027,0-4,M1,285522
2027,0-4,M2,282639
2027,0-4,M3,280671
2027,10-14,M1,357505
2027,10-14,M2,355480
2027,10-14,M3,353976
2027,15-19,M1,392273
2027,15-19,M2,388054
2027,15-19,M3,384025
2027,20-24,M1,356351
2027,20-24,M2,350938
2027,20-24,M3,345616
2027,25-29,M1,345992
2027,25-29,M2,339952
2027,25-29,M3,335112
2027,30-34,M1,340850
2027,30-34,M2,334488
2027,30-34,M3,329598
2027,35-39,M1,372577
2027,35-39,M2,366202
2027,35-39,M3,361080
2027,40-44,M1,423344
2027,40-44,M2,417021
2027,40-44,M3,412011
2027,45-49,M1,434895
2027,45-49,M2,431756
2027,45-49,M3,429497
2027,5-9,M1,310327
2027,5-9,M2,308313
2027,5-9,M3,306853
2027,50-54,M1,381852
2027,50-54,M2,380444
2027,50-54,M3,379397
2027,55-59,M1,348365
2027,55-59,M2,346982
2027,55-59,M3,346049
2027,60-64,M1,313971
2027,60-64,M2,312577
2027,60-64,M3,311706
2027,65-69,M1,271899
2027,65-69,M2,271059
2027,65-69,M3,270470
2027,70-74,M1,228680
2027,70-74,M2,228171
2027,70-74,M3,227787
2027,75-79,M1,185038
2027,75-79,M2,184679
2027,75-79,M3,184436
2027,80-84,M1,127693
2027,80-84,M2,127456
2027,80-84,M3,127298
2027,85+,M1,104703
2027,85+,M2,104320
2027,85+,M3,104097
2028,0-4,M1,281284
2028,0-4,M2,277495
2028,0-4,M3,274766
2028,10-14,M1,348995
2028,10-14,M2,346564
2028,10-14,M3,344683
2028,15-19,M1,392270
2028,15-19,M2,387667
2028,15-19,M3,383102
2028,20-24,M1,367617
2028,20-24,M2,361106
2028,20-24,M3,354491
2028,25-29,M1,351645
2028,25-29,M2,344524
2028,25-29,M3,338377
2028,30-34,M1,347117
2028,30-34,M2,339485
2028,30-34,M3,333428
2028,35-39,M1,370111
2028,35-39,M2,362460
2028,35-39,M3,356086
2028,40-44,M1,416619
2028,40-44,M2,409032
2028,40-44,M3,402736
2028,45-49,M1,446231
2028,45-49,M2,441826
2028,45-49,M3,438520
2028,5-9,M1,308346
2028,5-9,M2,305936
2028,5-9,M3,304122
2028,50-54,M1,386047
2028,50-54,M2,384353
2028,50-54,M3,383017
2028,55-59,M1,358572
2028,55-59,M2,356911
2028,55-59,M3,355734
2028,60-64,M1,319522
2028,60-64,M2,317858
2028,60-64,M3,316763
2028,65-69,M1,280321
2028,65-69,M2,279204
2028,65-69,M3,278417
2028,70-74,M1,232178
2028,70-74,M2,231562
2028,70-74,M3,231080
2028,75-79,M1,190432
2028,75-79,M2,189974
2028,75-79,M3,189651
2028,80-84,M1,133936
2028,80-84,M2,133661
2028,80-84,M3,133461
2028,85+,M1,110527
2028,85+,M2,110084
2028,85+,M3,109810
2029,0-4,M1,278969
2029,0-4,M2,274186
2029,0-4,M3,270594
2029,10-14,M1,340867
2029,10-14,M2,338033
2029,10-14,M3,335777
2029,15-19,M1,389529
2029,15-19,M2,384666
2029,15-19,M3,379737
2029,20-24,M1,378507
2029,20-24,M2,370906
2029,20-24,M3,363013
2029,25-29,M1,357842
2029,25-29,M2,349675
2029,25-29,M3,342174
2029,30-34,M1,355784
2029,30-34,M2,346885
2029,30-34,M3,339686
2029,35-39,M1,368666
2029,35-39,M2,359744
2029,35-39,M3,352130
2029,40-44,M1,409820
2029,40-44,M2,400960
2029,40-44,M3,393383
2029,45-49,M1,450719
2029,45-49,M2,444878
2029,45-49,M3,440341
2029,5-9,M1,304760
2029,5-9,M2,301959
2029,5-9,M3,299800
2029,50-54,M1,395246
2029,50-54,M2,393253
2029,50-54,M3,391611
2029,55-59,M1,368080
2029,55-59,M2,366147
2029,55-59,M3,364723
2029,60-64,M1,324467
2029,60-64,M2,322528
2029,60-64,M3,321207
2029,65-69,M1,288973
2029,65-69,M2,287560
2029,65-69,M3,286561
2029,70-74,M1,237468
2029,70-74,M2,236746
2029,70-74,M3,236153
2029,75-79,M1,194198
2029,75-79,M2,193646
2029,75-79,M3,193236
2029,80-84,M1,140169
2029,80-84,M2,139842
2029,80-84,M3,139599
2029,85+,M1,116652
2029,85+,M2,116148
2029,85+,M3,115824
2030,0-4,M1,276948
2030,0-4,M2,271256
2030,0-4,M3,266568
2030,10-14,M1,333140
2030,10-14,M2,329907
2030,10-14,M3,327085
2030,15-19,M1,384250
2030,15-19,M2,379038
2030,15-19,M3,373259
2030,20-24,M1,388917
2030,20-24,M2,380457
2030,20-24,M3,370868
2030,25-29,M1,364329
2030,25-29,M2,355102
2030,25-29,M3,345648
2030,30-34,M1,364337
2030,30-34,M2,354219
2030,30-34,M3,345186
2030,35-39,M1,367166
2030,35-39,M2,356976
2030,35-39,M3,347490
2030,40-44,M1,406434
2030,40-44,M2,396304
2030,40-44,M3,386816
2030,45-49,M1,447325
2030,45-49,M2,440136
2030,45-49,M3,434121
2030,5-9,M1,301658
2030,5-9,M2,298297
2030,5-9,M3,295541
2030,50-54,M1,409593
2030,50-54,M2,407015
2030,50-54,M3,404831
2030,55-59,M1,374519
2030,55-59,M2,372309
2030,55-59,M3,370494
2030,60-64,M1,331171
2030,60-64,M2,328961
2030,60-64,M3,327267
2030,65-69,M1,296938
2030,65-69,M2,295238
2030,65-69,M3,293968
2030,70-74,M1,243593
2030,70-74,M2,242715
2030,70-74,M3,241950
2030,75-79,M1,198840
2030,75-79,M2,198194
2030,75-79,M3,197673
2030,80-84,M1,146148
2030,80-84,M2,145761
2030,80-84,M3,145439
2030,85+,M1,123525
2030,85+,M2,122958
2030,85+,M3,122543
2031,0-4,M1,275233
2031,0-4,M2,268713
2031,0-4,M3,262962
2031,10-14,M1,325144
2031,10-14,M2,321512
2031,10-14,M3,318121
2031,15-19,M1,378009
2031,15-19,M2,372386
2031,15-19,M3,365753
2031,20-24,M1,397743
2031,20-24,M2,388629
2031,20-24,M3,377614
2031,25-29,M1,372452
2031,25-29,M2,362148
2031,25-29,M3,350758
2031,30-34,M1,370988
2031,30-34,M2,359708
2031,30-34,M3,348815
2031,35-39,M1,366321
2031,35-39,M2,354863
2031,35-39,M3,343532
2031,40-44,M1,403265
2031,40-44,M2,391863
2031,40-44,M3,380463
2031,45-49,M1,442538
2031,45-49,M2,434090
2031,45-49,M3,426577
2031,5-9,M1,300255
2031,5-9,M2,296178
2031,5-9,M3,292657
2031,50-54,M1,424379
2031,50-54,M2,420928
2031,50-54,M3,417927
2031,55-59,M1,380703
2031,55-59,M2,378213
2031,55-59,M3,375999
2031,60-64,M1,339778
2031,60-64,M2,337304
2031,60-64,M3,335241
2031,65-69,M1,302671
2031,65-69,M2,300703
2031,65-69,M3,299150
2031,70-74,M1,251258
2031,70-74,M2,250182
2031,70-74,M3,249209
2031,75-79,M1,203459
2031,75-79,M2,202721
2031,75-79,M3,202080
2031,80-84,M1,150349
2031,80-84,M2,149894
2031,80-84,M3,149493
2031,85+,M1,131542
2031,85+,M2,130911
2031,85+,M3,130410
2032,0-4,M1,273948
